,YearMonth,Tonnes
734,202410.0,0.84
735,202411.0,0.52
736,202411.0,0.26
737,202411.0,0.494
738,202411.0,0.266
739,202411.0,
740,202411.0,
741,202411.0,0.39
742,202411.0,0.65
743,202411.0,0.552
744,202411.0,0.552
745,202411.0,0.268
746,202411.0,0.3
747,202411.0,0.3
748,202410.0,2.0608
749,202410.0,2.052
750,202410.0,0.032
751,202410.0,0.064
752,202410.0,0.039200000000000006
753,202410.0,1.0948000000000002
754,202410.0,0.6
755,202410.0,1.394
756,202410.0,0.246
757,202410.0,
758,202410.0,
759,202410.0,
760,202410.0,
761,202410.0,
762,202410.0,
763,202410.0,0.195
764,202410.0,0.33
765,202410.0,0.032
766,202410.0,0.588
767,202410.0,0.196
768,202410.0,0.27440000000000003
769,202410.0,0.15680000000000002
770,202410.0,0.14959999999999998
771,202410.0,0.39
772,202410.0,0.39
773,202410.0,0.48
774,202410.0,0.4
775,202410.0,
776,202410.0,0.602
777,202410.0,0.032
778,202410.0,0.032
779,202410.0,0.884
780,202410.0,1.326
781,202501.0,0.345
782,202410.0,0.054
783,202410.0,0.8
784,202410.0,0.04
785,202410.0,0.04
786,202410.0,0.44
787,202410.0,0.648
788,202410.0,0.738
789,202410.0,0.64
790,202410.0,0.0896
791,202410.0,0.195
792,202410.0,0.5588
793,202410.0,0.1016
794,202410.0,0.1016
795,202410.0,0.2032
796,202410.0,0.0896
797,202410.0,0.07919999999999999
798,202410.0,0.0704
799,202410.0,0.072
800,202410.0,0.468
801,202411.0,0.99
802,202411.0,0.342
803,202411.0,
804,202411.0,0.595
805,202410.0,0.714
806,202410.0,0.238
807,202410.0,0.119
808,202410.0,0.134
809,202410.0,0.268
810,202410.0,0.432
811,202410.0,0.286
812,202410.0,0.0688
813,202410.0,0.0688
814,202410.0,0.1016
815,202410.0,0.066
816,202410.0,0.0958
817,202410.0,0.045399999999999996
818,202410.0,0.2724
819,202410.0,0.1398
820,202410.0,0.1398
821,202410.0,0.1864
822,202410.0,0.054
823,202410.0,0.245
824,202410.0,0.246
825,202410.0,0.123
826,202410.0,0.41
827,202410.0,0.287
828,202410.0,0.1336
829,202410.0,0.032
830,202410.0,0.099
831,202410.0,0.066
832,202410.0,0.42
833,202410.0,0.0692
834,202410.0,
835,202410.0,0.84
836,202410.0,0.0688
837,202410.0,0.072
838,202410.0,0.234
839,202410.0,0.0732
840,202410.0,
841,202410.0,0.54
842,202410.0,
843,202410.0,0.2816
844,202410.0,0.4272
845,202410.0,0.324
846,202410.0,0.054
847,202410.0,0.054
848,202410.0,0.7615999999999999
849,202410.0,0.0448
850,202411.0,0.315
851,202412.0,0.07959999999999999
852,202412.0,0.1398
853,202412.0,0.1398
854,202412.0,1.08
855,202412.0,0.1644
856,202412.0,0.054799999999999995
857,202412.0,0.058
858,202410.0,1.092
859,202410.0,0.756
860,202410.0,0.396
861,202410.0,0.166
862,202410.0,0.083
863,202410.0,0.504
864,202410.0,0.288
865,202410.0,0.1068
866,202410.0,0.216
867,202410.0,0.054
868,202410.0,
869,202410.0,0.15239999999999998
870,202410.0,0.108
871,202410.0,1.568
872,202410.0,0.42
873,202410.0,0.216
874,202502.0,0.288
875,202502.0,0.096
876,202502.0,0.28
877,202502.0,0.444
878,202502.0,0.952
879,202410.0,0.032
880,202410.0,2.0196
881,202410.0,0.29919999999999997
882,202410.0,0.064
883,202410.0,0.16
884,202410.0,0.032
885,202409.0,1.7952
886,202409.0,0.5236000000000001
887,202409.0,0.032
888,202409.0,0.6726
889,202409.0,0.28
890,202409.0,0.9652
891,202409.0,0.07919999999999999
892,202409.0,0.24
893,202409.0,0.0308
894,202409.0,0.07080000000000002
895,202409.0,0.7896
896,202409.0,0.033
897,202409.0,0.0864
898,202409.0,0.2725
899,202409.0,0.07680000000000001
900,202409.0,0.17920000000000003
901,202409.0,0.464
902,202409.0,0.112
903,202409.0,0.032799999999999996
904,202409.0,0.135
905,202409.0,0.1398
906,202409.0,0.28
907,202409.0,0.14
908,202409.0,0.07
909,202409.0,0.049
910,202409.0,0.049
911,202409.0,0.18
912,202409.0,0.27
913,202409.0,0.09
914,202409.0,0.09
915,202501.0,0.44
916,202501.0,0.134
917,202501.0,0.134
918,202501.0,0.104
919,202410.0,0.692
920,202410.0,0.6505599999999999
921,202410.0,0.09
922,202410.0,0.3
923,202410.0,0.30639999999999995
924,202410.0,0.054
925,202410.0,0.27
926,202410.0,0.054
927,202410.0,0.33
928,202410.0,0.304
929,202410.0,0.05
930,202410.0,0.032
931,202410.0,0.096
932,202410.0,0.6292
933,202410.0,1.1356
934,202410.0,
935,202410.0,0.036
936,202410.0,
937,202410.0,
938,202410.0,
939,202410.0,
940,202410.0,
941,202410.0,0.4488
942,202410.0,1.7952
943,202410.0,0.032
944,202410.0,0.688
945,202410.0,0.032
946,202410.0,0.774
947,202410.0,0.774
948,202411.0,1.56
949,202411.0,0.38
950,202411.0,0.19
951,202411.0,0.945
952,202411.0,1.1
953,202411.0,0.268
954,202411.0,0.1728
955,202411.0,0.252
956,202411.0,0.315
957,202411.0,0.189
958,202411.0,0.189
959,202411.0,0.63
960,202411.0,0.14
961,202410.0,0.82
962,202410.0,0.228
963,202410.0,0.266
964,202410.0,0.076
965,202410.0,
966,202410.0,
967,202410.0,
968,202410.0,
969,202410.0,0.076
970,202410.0,0.076
971,202410.0,0.494
972,202410.0,0.325
973,202410.0,0.404
974,202411.0,1.68
975,202411.0,0.032
976,202411.0,0.2244
977,202410.0,0.0484
978,202410.0,0.0968
979,202410.0,0.0484
980,202410.0,0.5099999999999999
981,202410.0,0.040799999999999996
982,202410.0,0.032
983,202410.0,
984,202410.0,0.462
985,202410.0,0.132
986,202410.0,0.264
987,202410.0,0.363
988,202410.0,0.627
989,202411.0,0.67
990,202411.0,0.054
991,202411.0,0.328
992,202411.0,0.656
993,202411.0,2.3187999999999995
994,202411.0,0.032
995,202411.0,0.032
996,202411.0,1.5224000000000002
997,202411.0,0.3216
998,202411.0,0.714
999,202411.0,0.952
1000,202411.0,0.119
1001,202411.0,0.576
1002,202411.0,0.096
1003,202411.0,0.3
1004,202411.0,0.376
1005,202411.0,0.309
1006,202411.0,0.3976
1007,202412.0,
1008,202412.0,
1009,202412.0,0.33
1010,202412.0,0.402
1011,202412.0,1.206
1012,202411.0,0.324
1013,202411.0,0.032
1014,202411.0,1.456
1015,202411.0,2.3187999999999995
1016,202411.0,0.032
1017,,0.546
1018,,
1019,202411.0,0.156
1020,202411.0,0.117
1021,202411.0,0.117
1022,202411.0,0.117
1023,202409.0,0.6
1024,202409.0,0.0224
1025,202409.0,0.224
1026,202409.0,0.0224
1027,202409.0,0.264
1028,202409.0,0.15239999999999998
1029,202409.0,0.264
1030,202409.0,0.176
1031,202409.0,0.8
1032,202409.0,0.936
1033,202410.0,1.52
1034,202410.0,
1035,202410.0,0.36
1036,202410.0,0.376
1037,202410.0,0.188
